,0,1,2,3,4,5,6,7,8,val
425,O, , ,O, ,X, , ,X,0.5015011934705823
426,O, , , ,O,X, , ,X,0.8089232198327088
427,O, , , , ,X,O, ,X,0.8886144571207901
428,O, , , , ,X, ,O,X,0.41562499999999997
429,O,X, , ,O,X, , ,X,0.225625
430,O, ,X, ,O,X, , ,X,0.9999999999999998
431,O, , ,X,O,X, , ,X,-0.6704496507854063
432,O, , , ,O,X,X, ,X,0.9022918458809716
433,O, , , ,O,X, ,X,X,0.7990367948888459
434,O,O, , ,O,X,X, ,X,0.8851338702440261
435,O, ,O, ,O,X,X, ,X,0.9137082310492578
436,O, , ,O,O,X,X, ,X,0.9122162224426864
437,O, , , ,O,X,X,O,X,0.8766595607474446
438,O,X, , ,O,X,X,O,X,0.2657814041755085
439,O, ,X, ,O,X,X,O,X,0.9999999999943048
440,O, , ,X,O,X,X,O,X,-0.9499871829705817
441,O,X,O, ,O,X,X,O,X,0.0
442,O,X, ,O,O,X,X,O,X,0.9499999999999771
443,O,X,X,O,O,X,X,O,X,0.9999999999999998
444, ,X, ,O, ,X, , , ,-0.002247132478235469
445, , ,X,O, ,X, , , ,-0.18623787179237833
446, , , ,O,X,X, , , ,1.2083921730303343e-07
447, , , ,O, ,X,X, , ,0.3102820370156111
448, , , ,O, ,X, ,X, ,-0.04536147190765843
449, , , ,O, ,X, , ,X,-0.027249151006173235
450,X,X, ,O, ,X, ,O, ,0.0
451,X, ,X,O, ,X, ,O, ,0.8203088086100045
452,X, , ,O,X,X, ,O, ,-0.08200939941406249
453,X, , ,O, ,X,X,O, ,0.0
454,X, , ,O, ,X, ,O,X,0.0
455,X,O,X,O, ,X, ,O, ,0.8763513083457946
456,X, ,X,O,O,X, ,O, ,0.9428589005226968
457,X, ,X,O, ,X,O,O, ,0.7808949546515942
458,X, ,X,O, ,X, ,O,O,0.8623782549507377
459,X,X,X,O, ,X, ,O,O,0.68359375
460,X, ,X,O,X,X, ,O,O,-0.5563420104980469
461,X, ,X,O, ,X,X,O,O,0.8996379812251121
462,X,O,X,O, ,X,X,O,O,0.9487290377150991
463,X,O,X,O,X,X,X,O,O,0.9999998208122883
464,O, , ,X, ,O, , ,X,0.19344523437499997
465, ,O, ,X, ,O, , ,X,0.7384265142598747
466, , ,O,X, ,O, , ,X,0.682420929017439
467, , , ,X,O,O, , ,X,0.836186633678726
468, , , ,X, ,O,O, ,X,1.0817205531903092e-62
469, , , ,X, ,O, ,O,X,0.7741180394276743
470,X,O, ,X, ,O, , ,X,0.0
471, ,O,X,X, ,O, , ,X,-0.11762479591369626
472, ,O, ,X,X,O, , ,X,-0.1768030362247489
473, ,O, ,X, ,O,X, ,X,0.8022227854967117
474, ,O, ,X, ,O, ,X,X,0.1694359706177222
475,O,O, ,X, ,O,X, ,X,0.6266196289062499
476, ,O,O,X, ,O,X, ,X,0.6494140625
477, ,O, ,X,O,O,X, ,X,0.9290527748665772
478, ,O, ,X, ,O,X,O,X,0.5860961914062499
479,X,O, ,X, ,O,X,O,X,0.0
480, ,O,X,X, ,O,X,O,X,-0.2375
481, ,O, ,X,X,O,X,O,X,0.8957159554965619
482,X,O,O,X,X,O,X,O,X,0.9577648639678955
483, ,O,O,X,X,O,X,O,X,0.9098766207695007
484, ,X,X,O, ,X, ,O, ,0.741797824919525
485, , ,X,O,X,X, ,O, ,0.7168549269107555
486, , ,X,O, ,X,X,O, ,0.82266405210495
487, , ,X,O, ,X, ,O,X,0.9866365389898419
488,X,O,X,O,X,X, ,O, ,0.8643827897310257
489,X,O,X,O, ,X,X,O, ,-0.2375
490,X,O,X,O, ,X, ,O,X,0.9924830531817861
491,X,O,X,O,X,X, ,O,O,0.9373047120403498
492, , ,X,O, ,X, ,O, ,0.7507942791557312
493, ,O,X,X, , , , , ,0.2349661573281884
494, ,O,X, ,X, , , , ,0.3706786436153649
495, ,O,X, , ,X, , , ,0.37070915579063646
496, ,O,X, , , ,X, , ,0.15005263336181643
497, ,O,X, , , , ,X, ,-0.14507905271959512
498, ,O,X, , , , , ,X,0.8059774835988021
499,X,O,X,O,O,O,X, ,X,-0.578125
500,X,O,X,O,O, ,X,O,X,-0.9436864852905273
501,X,O,X,O,O, ,X, ,X,-0.78092041015625
502,X,O,X,O,O, , , ,X,0.33588324919342993
503,X,O,X, ,O, , , ,X,-0.7544383206056281
504,O,X, ,X, , , , , ,-0.1826745703631935
505,O, ,X,X, , , , , ,-0.21024446999442506
506,O, , ,X,X, , , , ,-0.19319937277006674
507,O, , ,X, , ,X, , ,-0.8135530830194313
508,O, , ,X, , , ,X, ,-0.65247742500695
509,O, , ,X, , , , ,X,0.08698067319205517
510,O,O, ,X, ,X, , , ,0.54921875
511,O, ,O,X, ,X, , , ,0.54921875
512,O, , ,X,O,X, , , ,-0.6381403241519945
513,O, , ,X, ,X,O, , ,0.061623828124999974
514,O, , ,X, ,X, ,O, ,0.21434374999999997
515,O, , ,X, ,X, , ,O,0.5849853454589844
